stage,feature,channel,beta1,se,t,p_uncorr,q_bh,significant,df_resid
latent,latent_ch23,23,-0.734332,0.616696,-1.19075,0.23852,0.76109,False,59
latent,latent_ch24,24,-0.739967,0.434404,-1.70341,0.0937547,0.654519,False,59
latent,latent_ch25,25,-0.270983,0.345368,-0.784621,0.435815,0.92989,False,59
latent,latent_ch26,26,-0.126707,0.415694,-0.304808,0.761585,0.955715,False,59
latent,latent_ch27,27,0.201841,0.436765,0.462128,0.645689,0.933699,False,59
latent,latent_ch28,28,-0.0303695,0.514133,-0.0590694,0.953096,0.992412,False,59
latent,latent_ch29,29,-0.573329,0.407987,-1.40526,0.165187,0.749148,False,59
latent,latent_ch30,30,-0.414937,0.289073,-1.4354,0.156452,0.749148,False,59
latent,latent_ch31,31,-0.096677,0.371175,-0.260462,0.795414,0.985628,False,59
latent,latent_ch32,32,0.210282,0.410994,0.511641,0.610812,0.933699,False,59
latent,latent_ch33,33,-0.202261,0.454893,-0.444634,0.658211,0.933699,False,59
latent,latent_ch34,34,0.462212,0.355271,1.30101,0.198313,0.76109,False,59
latent,latent_ch35,35,0.0953068,0.304974,0.312508,0.755756,0.955715,False,59
latent,latent_ch36,36,0.199675,0.423174,0.47185,0.638774,0.933699,False,59
latent,latent_ch37,37,-0.0187465,0.409381,-0.0457924,0.96363,0.993984,False,59
latent,latent_ch38,38,0.197469,0.318003,0.620965,0.537015,0.933699,False,59
latent,latent_ch39,39,-0.105516,0.495433,-0.212977,0.832079,0.985628,False,59
latent,latent_ch40,40,0.594686,0.552818,1.07573,0.286425,0.780052,False,59
latent,latent_ch41,41,-1.25163,0.585598,-2.13735,0.0367243,0.587589,False,59
latent,latent_ch42,42,-0.183347,0.416016,-0.440721,0.661025,0.933699,False,59
latent,latent_ch43,43,-0.00637616,0.529085,-0.0120513,0.990425,0.994182,False,59
latent,latent_ch44,44,-0.533723,0.307462,-1.7359,0.0878021,0.654519,False,59
latent,latent_ch45,45,-1.07537,0.44827,-2.39894,0.0196211,0.500029,False,59
latent,latent_ch46,46,0.459011,0.447136,1.02656,0.308819,0.823517,False,59
latent,latent_ch47,47,-0.114954,0.33195,-0.346298,0.73035,0.950257,False,59
latent,latent_ch48,48,0.560219,0.395618,1.41606,0.162016,0.749148,False,59
latent,latent_ch49,49,-0.459731,0.34878,-1.31811,0.192561,0.76109,False,59
latent,latent_ch50,50,-0.124125,0.351665,-0.352963,0.725374,0.950257,False,59
latent,latent_ch51,51,-0.138239,0.348795,-0.396333,0.693289,0.944053,False,59
latent,latent_ch52,52,-0.692438,0.450559,-1.53684,0.129678,0.734408,False,59
latent,latent_ch53,53,-0.16141,0.343143,-0.470388,0.639812,0.933699,False,59
